Application Group Name,package signature,process,parameters ,proces Desc,priority,service (in nmap),
Windows Security Update,Security Update,,,Windows Security Update,1,,
Windows Server Update,Update for Windows Server,,,Windows Server Update,1,,
Checkpoint Mgmt Server,,,,Checkpoint Mgmt Server,1,opsec-lea;opsec-cvp;opsec-ela;opsec-sam;opsec-omi,PH_SYS_APP_SEC_MGMT
Microsoft TCP/IP Services Application,,tcpsvcs.exe,,Microsoft TCP/IP Services Application,10,,PH_SYS_APP_DHCP_SERVER
Windows DHCP Client,,svchost.exe,"""-k NetworkService""",Windows DHCP Client,10,,
Windows Distributed File System Service,,Dfssvc.exe,,Windows Distributed File System Service,10,,
Microsoft Distributed Transaction Coordinator Service,,msdtc.exe,,Microsoft Distributed Transaction Coordinator Service,10,,
Windows Intersite Messaging Service,,ismserv.exe,,Windows Intersite Messaging Service,10,,
Windows Application Layer Gateway Service,,alg.exe,,Windows Application Layer Gateway Service,10,,
Microsoft Network Services,,svchost.exe,"""-k netsvcs""",Microsoft Network Services,10,,
Cisco Secure ACS Auth Server,,CSAdmin.exe,,Cisco Secure ACS Administration Server,10,http-alt;https-alt,PH_SYS_APP_AUTH_SERVER
Cisco Secure ACS Auth Server,,CSAuth.exe,,Cisco Secure ACS Authentication Server,10,,
Cisco Secure ACS Auth Server,,CSDbSync.exe,,Cisco Secure ACS Database Synch Server,10,,
Cisco Secure ACS Auth Server,,CSLog.exe,,Cisco Secure ACS Logging Server,10,,
Cisco Secure ACS Auth Server,,CSMon.exe,,Cisco Secure ACS Monitoring Service,10,,
Cisco Secure ACS Auth Server,,CSRadius.exe,,Cisco Secure ACS RADIUS Server,10,radius,
Cisco Secure ACS Auth Server,,CSTacacs.exe,,Cisco Secure ACS TACACS Server,10,tacacs,
DCOM Process Launcher,,svchost.exe,"""-k DcomLaunch""",DCOM Process Launcher,10,,
Local Security Authentication Service,,lsass.exe,,Local Security Authentication Service,10,,
LDAP Directory Service,,,,LDAP Directory Service,1,ldap;ldapssl;globalcatldap;globalcatldapssl,PH_SYS_APP_DIRECTORY_SERVER
Unix LDAP Directory Service,,slapd,,Unix LDAP Directory Service,10,ldap;ldapssl,PH_SYS_APP_DIRECTORY_SERVER
Spam Assasin (UNIX),,spamd,,Spam Assasin (UNIX),10,,
DNS Forwarder,,dnsmasq,,DNS Forwarder,10,,PH_SYS_APP_DNS_SERVER
Snare Windows Event Logging Service,Snare,SnareCore.exe,,Snare Windows Event Logging Service,10,http-alt;https-alt,PH_SYS_APP_LOG_MGMT_SERVER
Snare IIS Event Logging Service ,Epilog,Epilog.exe,,Snare IIS Event Logging Service ,10,http-alt;https-alt,PH_SYS_APP_LOG_MGMT_SERVER
Windows Telnet Service,,tlntsvr.exe,,Windows Telnet Service,10,telnet
Windows File Replication Service,,ntfrs.exe,,Windows File Replication Service,10,msrpc
NetMeeting Desktop Sharing Service,,mnmsrvc.exe,,NetMeeting Desktop Sharing Service,10,ms-term-serv
Microsoft Internet Naming Service,,wins.exe,,Microsoft Internet Naming Service,10,
Windows Internet Explorer Browser,Internet Explorer,explorer.exe,,Windows Internet Explorer Browser,10,
Mozilla Firefox Browser,Mozilla Firefox,,,Mozilla Firefox Browser,1,
CiscoSecure ACS Server,CiscoSecure ACS,,,CiscoSecure ACS Server,1,
Microsoft Visual Studio,Visual Studio,,,Microsoft Visual Studio,1,
VMware,VMware,,,VMware ,1,
VMware Service,,VMwareService.exe,,VMware Service,10,
VMware Tools,,VMwareUser.exe,,VMware Tools,10,
Windows Management Interface (WMI) Service,,wmiprvse.exe,,Windows Management Interface (WMI) Service,10,
Windows Session Manager Subsystem,,smss.exe,,Windows Session Manager Subsystem,10,
Windows Client Server Runtime Subsystem,,csrss.exe,,Windows Client Server Runtime Subsystem,10,
Windows Service Start-Stop Management Service,,services.exe,,Windows Service Start-Stop Management Service,10,
Adobe Acrobat Distiller Helper,,acrotray.exe,,Adobe Acrobat Distiller Helper,10,
Autodesk Network License Management,,adskflex.exe,,Autodesk Network License Management,10,,
Microsoft Service Extension for Java,,aims_appserver.exe,,Microsoft Service Extension for Java,10,,
Microsoft Agent Server,,agentsvr.exe,,Microsoft Agent Server,10,,
Brother Printer Driver1,,brss01a.exe,,Brother Printer Driver1,10,,
Brother Printer Driver2,,brsvc01a.exe,,Brother Printer Driver2,10,,
Novell Border Manager Client Trust Service,,clntrust.exe,,Novell Border Manager Client Trust Service,10,,
Cybermedia agent,,cmagent.exe,,Cybermedia agent,10,,
HP Insight Manager,,cpqnimgt.exe,,Compaq NIC Agents Service,10,,
HP ProLiant Remote Monitor Service,,cpqrcmc.exe,,HP ProLiant Remote Monitor Service,10,,
Compaq Network Teaming and Configuration,,cpqteam.exe,,Compaq Network Teaming and Configuration,10,,
HP Insight Manager,,cpqwmgmt.exe,,Compaq Server Web Management Agent,10,,
Compaq windows management Interface (WMI) service,,cpqwmi.exe,,Compaq windows management Interface (WMI) service,10,,
HP windows management Interface (WMI) service,,hpqwmi.exe,,HP windows management Interface (WMI) service,10,,
HP Insight Manager,,cqmghost.exe,,HP Insight Foundation Agent Serviice,10,,PH_SYS_APP_MGMT_SERVER
HP Insight Manager,,cqmgserv.exe,,HP Insight Management Server Agent Service,10,,PH_SYS_APP_MGMT_SERVER
HP Insight Manager,,cqmgstor.exe,,HP Insight Storage Agents,10,,PH_SYS_APP_MGMT_SERVER
HP Insight Manager,,hpsmhd.exe,,HP System Management Monitor service,10,,PH_SYS_APP_MGMT_SERVER
HP Insight Manager,,smhstart.exe,,HP System Management Homepage Service,10,,
HP Insight Manager,,vcagent.exe,,HP Insight Management Version Control Agent Service,10,,PH_SYS_APP_MGMT_SERVER
Microsoft Windows World Wide Web Publishing Service,,inetinfo.exe,,Microsoft Windows World Wide Web Publishing Service,10,,
Microsoft Windows logon screen saver service,,logon.scr,,Microsoft Windows logon screen saver service,10,,
Sun Java's automatic update scheduler,, jusched.exe,,Sun Java's automatic update scheduler,10,,
McAfee Anti-virus service,,mcshield.exe,,McAfee Anti-virus service,10,,PH_SYS_APP_HOST_AV
McAfee Security Taskbar Extension Service,,mctray.exe,,McAfee Security Taskbar Extension Service,10,,PH_SYS_APP_HOST_AV
McAfee Anti-virus McTaskManager service ,,vstskmgr.exe,,McAfee Anti-virus McTaskManager service ,10,,
McAfee Host Intrusion Protection for Servers,,,,McAfee Host Intrusion Protection for Servers,1,,PH_SYS_APP_HOST_AV
McAfee Host Intrusion Protection for Desktops,,,,McAfee Host Intrusion Protection for Desktops,1,,PH_SYS_APP_HOST_AV
McAfee Security Common User Interface,,udaterui.exe,,McAfee Security Common User Interface,10,,
McAfee Virus-scan Process,,mfeann.exe,,McAfee Virus-scan Process,10,,PH_SYS_APP_HOST_AV
McAfee Virus Scanner Statististics Task,,shstat.exe,,McAfee Virus Scanner Statististics Task,10,,
McAfee Anti-virus Validation Protection Service,,mfevtps.exe,,McAfee Anti-virus Validation Protection Service,10,,PH_SYS_APP_HOST_AV
McAfee ePolicy Orchestrator Process,,naprdmgr.exe,,McAfee ePolicy Orchestrator Process,10,,PH_SYS_APP_HOST_AV
McAfee ePolicy Orchestrator Server,,tomcat5.exe,//RS//MCAFEETOMCATSRV,McAfee ePolicy Orchestrator Server,10,http-alt;https-alt,PH_SYS_APP_SEC_MGMT
McAfee Common Management Agent,,,,McAfee Common Management Agent,10,,PH_SYS_APP_SEC_MGMT
Symantec Endpoint Protection ,,Rtvscan.exe,,Symantec Endpoint Protection Scanner,10,,PH_SYS_APP_HOST_AV
Symantec Endpoint Protection ,,semsvc.exe,,Symantec Endpoint Protection Service,10,,PH_SYS_APP_SEC_MGMT
Symantec Endpoint Protection ,,smc.exe,,Symantec Endpoint Protection Client,10,,PH_SYS_APP_HOST_AV
Symantec Ghost imaging service,,dbserv.exe,,Symantec Ghost imaging service,10,,
Symantec Ghost imaging server process,, ngctw32.exe,,Symantec Ghost imaging server process,10,,
Symantec Ghost configuration server process,, ngserver.exe,,Symantec Ghost configuration server process,10,,
Symantec Ghost Tray icon task service,, ngtray.exe,,Symantec Ghost Tray icon task service,10,,
TrendMicro Antivirus Manager,,Apache.exe,Trend Micro,TrendMicro Antivirus Manager,10,,PH_SYS_APP_SEC_MGMT
TrendMicro OfficeScan ,,DbServer.exe,,TrendMicro OfficeScan Management DB Server,10,,PH_SYS_APP_SEC_MGMT
TrendMicro OfficeScan,,NTRtScan.exe,,TrendMicro OfficeScan Real Time Scan,10,,PH_SYS_APP_HOST_AV
Microsoft Windows remote registry system service,,regsvc.exe,,Microsoft Windows remote registry system service,10,,
SAP customer connection service (SAP proxy),,saprouter,,SAP customer connection service (SAP proxy),10,,
Windows print and fax handler,, spoolsv.exe,,Windows print and fax handler,10,,
Microsoft Windows Server shutdown service,, sysdown.exe,,Microsoft Windows Server shutdown service,10,,
WinZip System Tray icon task service,,wzqkpick.exe,,WinZip System Tray icon task service,10,,
Microsoft Windows  Automatic Update Service,, wuauclt.exe,,Microsoft Windows  Automatic Update Service,10,,
Hummingbird DOCSFusion,,docsfusion.exe,,Hummingbird DOCSFusion Server1,10,,
Hummingbird DOCSFusion,,ftservce.exe,,Hummingbird DOCSFusion Connector Service,10,,
Hummingbird DOCSFusion,,ftserver.exe,,Hummingbird DOCSFusion Connector Server,10,,
Hummingbird DOCSFusion,,pcdauthenpipe.exe,,Hummingbird DOCSFusion Server2,10,,
Hummingbird DOCSFusion,,pcdoiserver.exe,,Hummingbird DOCSFusion Server3,10,,
BlackBerry Mail,,blackberryagent.exe,,BlackBerry Messaging Agent ,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,bbattachserver.exe,,BlackBerry Attachment Server,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,bcol.exe,,BlackBerry Collaboration Service,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,gwservice.exe,,BlackBerry Novell GroupWise connector1,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,bmds.exe,,BlackBerry Mobile Data Service,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,besalert.exe,,BlackBerry Enterprise Server ,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,gwchecknew.exe,,BlackBerry Novell GroupWise connector2,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,gwcheckpa.exe,,BlackBerry Novell GroupWise connector3,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,gwconnector.exe,,BlackBerry Novell GroupWise connector4,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,blackberrycontroller.exe,,BlackBerry Controller,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,blackberrydispatcher.exe,,BlackBerry Dispatcher,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,itadminserver.exe,,BlackBerry Policy Service,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,blackberryrouter.exe,,BlackBerry Router ,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,blackberrysyncserver.exe,,BlackBerry Synchronization Service,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,rimdevicemanager.exe,,BlackBerry Communications Manager,10,,PH_SYS_APP_MAIL_SERVER
BlackBerry Mail,,bbdevmgr.exe,,BlackBerry Handheld Driver Software ,10,,
BlackBerry Mail,,bbmgrw32.exe,,BlackBerry Application Server,10,,PH_SYS_APP_MAIL_SERVER
Blackberry Mail,,bbconvert.exe,,Blackberry BES server,10,,PH_SYS_APP_MAIL_SERVER
ArcIMS Application Server,,aims_appserver.exe,,ArcIMS Application Server,10,,
ArcIMS Monitor,,aims_monitor.exe,,ArcIMS Monitor,10,,
ArcIMS Tasker,,aims_tasker.exe,,ArcIMS Tasker,10,,
ArcIMS Spatial Server containers,,aimsserver.exe,,ArcIMS Spatial Server containers,10,,
ArcGIS Logging and Directory Mgmt Server,,arcsoc.exe,,ArcGIS Logging and Directory Mgmt Server,10,,
ArcGIS Server,,arcsom.exe,,ArcGIS Server,10,,
Microsoft Windows File Indexing Service,,cidaemon.exe,,Microsoft Windows File Indexing Service,10,,
Microsoft Office Alternate Text Input Service,,ctfmon.exe,,Microsoft Office Alternate Text Input Service,10,,
Microsoft Windows Logon Manager,,winlogon.exe,,Microsoft Windows Logon Manager,10,,
