## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
64,Incident Cleared Time,incidentClearedTime,Date,1,0,0,0,0,,0,0,0,1,0,,,,,,,,,
65,Incident Cleared User,incidentClearedUser,string,1,0,0,0,0,,0,1,0,1,0,,,,,,,,,
66,Incident Cleared Reason,incidentClearedReason,string,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,
67,Incident Notification Recipients,incidentNotiRecipients,string,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,
68,Incident Ticket ID,incidentTicketId,string,1,0,0,0,0,,1,1,0,1,0,,,,,,,,,
69,Incident Ticket Status,incidentTicketStatus,uint16,1,0,0,0,0,Code,0,1,0,1,0,,,,,,,,,
70,Incident Ticket User,incidentTicketUser,string,1,0,0,0,0,,0,1,0,1,0,,,,,,,,,
80,Incident Comments,incidentComments,string,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,
81,Incident Resolution Time,incidentResoTime,uint32,0,1,0,0,0,DurationSec,0,0,1,1,0,,,1,,,1,,,
82,Incident Externally Assigned User,incidentExtUser,string,1,0,0,0,0,,0,1,0,1,0,,,,,,,,,
83,Incident Externally Cleared Time,incidentExtClearedTime,Date,1,0,0,0,0,,0,0,0,1,0,,,,,,,,,
84,Incident Externally Resolution Time,incidentExtResoTime,uint32,0,1,0,0,0,DurationSec,0,0,1,1,0,,,1,,,1,,,
85,Incident External Ticket ID,incidentExtTicketId,string,1,0,0,0,0,,1,1,0,1,0,,,,,,,,,
86,Incident External Ticket State,incidentExtTicketState,string,1,0,0,0,0,,1,1,0,1,0,,,,,,,,,
87,Incident External Ticket Type,incidentExtTicketType,string,1,0,0,0,0,,1,1,0,1,0,,,,,,,,,
88,Incident Notification Status,incidentNotiStatus,string,1,0,0,0,0,,1,1,0,1,0,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,,,,
90,Peak Event Rate (/sec),peakEventsPerSec,double,1,0,0,0,0,PerSec,0,0,1,1,0,,,,,,,,,
