## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
1172,CBQoS Curr Queue Length,qosCurrQueue,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1173,CBQoS Max Queue Length,qosMaxQueue,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1174,CBQoS Discarded Pkt,qosDiscardPkt,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1175,VPN Tunnel Name,vpnTunnelName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1176,FQDN Name,fqdnName,string,0,1,0,0,0,,1,1,0,,0,,1,,,,1,,1,
1177,Total Byte Rate (/sec),totBytesPerSec,double,0,0,0,1,0,BytesPerSec,0,0,1,1,0,,,,1,,,,,
1178,Total Packet Rate (/sec),totPktsPerSec,double,0,0,0,1,0,PerSec,0,0,1,1,0,,,,1,,,,,
1179,OSPF Area Id,ospfAreaId,uint32,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1180,OSPF State,ospfState,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1181,BGP State,bgpState,string,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1182,Host Virtual IP,hostVirtIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,1,
1183,Previous Source IP,prevSrcIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,1,
1184,Previous Source TCP/UDP Port,prevSrcIpPort,uint16,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
1185,Server Name,serverName,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1186,Type,type,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1187,Backup Status,backupStatus,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1188,Image File,imageFile,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1189,Start Time,startTime,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1190,Code,code,uint32,0,1,0,0,0,,0,0,1,1,0,,1,1,,,,,,
1191,Source FiberChannel WWN Id,srcWWN,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1192,Destination FiberChannel WWN Id,destWWN,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1193,Sent Bit Rate (/sec),sentBitsPerSec,double,0,0,0,1,0,BitsPerSec,0,0,1,1,0,,,,1,,
1194,Received Bit Rate (/sec),recvBitsPerSec,double,0,0,0,1,0,BitsPerSec,0,0,1,1,0,,,,1,,
1195,Total Ports,totalPorts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1196,Used Ports,usedPorts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1197,Free Ports,freePorts,uint32,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1198,Port Capacity Utilization,portCapUtil,double,0,1,0,0,0,,0,0,1,1,0,,,1,,,1,,,
1199,Free Switch Port,freeSwitchPortList,string,0,1,0,0,0,,1,1,0,0,0,,,,,,,,,
1200,Firewall Action,fwAction,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1201,Local VPN Tunnel IP,localVpnIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1202,Remote VPN Tunnel IP,remoteVpnIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,1,
1203,Tunnel Uptime,tunnelUpTime,uint64,0,0,1,0,0,DurationSec,0,0,1,1,0,1,,,,,,,,
1204,Tunnel Status,tunnelStatus,string,0,1,0,0,0,,1,1,0,0,0,,,,,,1,,,
1205,Sent Packet Drop,sentPktDrop,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1206,Sent Exch Reject,sentExchReject,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1207,Sent Exch Invalid,sentExchInvalid,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1208,Sent Auth Fail,sentAuthFail,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1209,Sent Encrypt Fail,sentEncryptFail,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1210,Recv Packet Drop,recvPktDrop,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1211,Recv Exch Reject,recvExchReject,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1212,Recv Exch Invalid,recvExchInvalid,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1213,Recv Auth Fail,recvAuthFail,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1214,Recv Decrypt Fail,recvDecryptFail,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
1215,Recv Replay Fail,recvReplayFail,uint64,0,1,0,0,0,,0,0,0,1,0,,,1,,,,,,
## System attributes(range 2000-2999),,,,,,,,,,,,,,,,,,,,,,,
2000,Computer,computer,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2001,Target Computer,targetComputer,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2002,Domain,domain,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2003,Target Domain,targetDomain,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2004,Operating System Type,osType,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2005,Operating System Version,osVersion,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2006,File Name,fileName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2007,Process Name,procName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2008,Object Type,osObjType,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2009,Object Name,osObjName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2010,Object Handle,osObjHandleID,string,0,0,1,0,0,,0,1,0,0,0,,,,,,1,,,
2011,Object Access Type,osObjAccessType,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2012,Polling Interval,pollIntv,uint32,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2013,CPU Name,cpuName,string,0,0,1,0,0,,0,1,0,0,0,,1,,,,,,,
2014,CPU Util,cpuUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2015,System Uptime,sysUpTime,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,1,,,,,,,,
2016,Software Name,swProcName,string,0,0,1,0,0,,1,1,0,0,0,1,,,,1,,,,
2017,System Process Count,procCount,uint32,0,0,1,0,0,,0,0,1,1,0,,1,,,,,,,
2018,Memory Name,memName,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2019,Free Memory,freeMemKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2020,Memory Util,memUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2021,Disk Name,diskName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,0,,,
2022,Free Disk (MB),freeDiskMB,uint32,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,1,,
2023,Disk Capacity Util,diskUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2024,Software Param,swParam,string,0,0,1,0,0,,1,1,0,0,0,,1,,,,,,,
2025,Restart Time,restartTime,Date,0,0,1,0,0,,0,0,0,0,0,1,,,,,,,,
2026,Old SVN Ver,oldSVNVersion,uint32,0,0,1,0,0,,0,0,0,0,0,,,,,1,,,,
2027,New SVN Ver,newSVNVersion,uint32,0,0,1,0,0,,0,0,0,0,0,,,,,1,,,,
2028,StartUp Config Ver,startUpConfVer,uint32,0,0,1,0,0,,0,0,0,0,0,,,,,1,,,,
2029,Running Config Ver,runningConfVer,uint32,0,0,1,0,0,,0,0,0,0,0,,,,,1,,,,
2030,System Temp,sysTemp,uint32,0,0,1,0,0,TempDegC,0,0,1,1,0,,1,,,,,,,
2031,Uptime Mon Duration,sysUpTimeMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2032,Process Count Mon Duration,sysProcMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2033,CPU Mon Duration,sysCPUMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2034,Mem Mon Duration,sysMemMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2035,Disk Mon Duration,sysDiskUsageMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2036,Intf Mon Duration,intfMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2037,Appl Mon Duration,procResourceMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2038,Inst Sw Mon Duration,instSwMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2039,Config Mon Duration,configMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2040,Fw Conn Mon Duration,fwConnMonDuration,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,,1,,,,,,,
2041,Windows Srvc Name,winSrvcName,string,0,0,1,0,0,,1,1,0,0,0,,1,,,,,,,
2042,Performance Health,perfHealth,uint16,0,0,1,0,0,,1,1,0,0,0,,1,,,,,,,
2043,Src Terminal Name,srcTerminal,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2044,Disk Used (MB),diskUsage,uint64,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,,,
2045,Syst Uptime Pct,sysUpTimePct,double,0,0,1,0,0,,0,0,1,1,0,1,,,,,,,,
2046,Syst Downtime,sysDownTime,uint32,0,0,1,0,0,DurationSec,0,0,1,1,0,1,,,,,,,,
2047,Real Peak Memory (KB),realMemPeakKBytes,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2048,Total Read I/O Rate (KBps),ioReadKBytesPerSec,double,1,0,0,0,0,KBytesPerSec,0,0,1,1,0,,,,,,,,,
2049,Total Write I/O Rate (KBps),ioWriteKBytesPerSec,double,1,0,0,0,0,KBytesPerSec,0,0,1,1,0,,,,,,,,,
2050,System CPU Util,sysCpuUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2051,User CPU Util,userCpuUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2052,Buffer Memory,bufMemKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2053,Cache Memory,cacheMemKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2054,Hardware Status ,hwStatusCode,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
## 2055,Hardware Battery Name,hwBatteryName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2056,Hardware Battery Status,hwBatteryStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
## 2057,Hardware Disk Name,hwDiskName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2058,Hardware Disk Status,hwDiskStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
## 2059,Hardware Power Supply Name,hwPowerSupplyName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2060,Hardware Power Supply Status,hwPowerSupplyStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
## 2061,Hardware Temperature Sensor Name,hwTempSensorName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2062,Hardware Temperature Sensor Status,hwTempSensorStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
## 2063,Hardware Fan Name,hwFanName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2064,Hardware Fan Status,hwFanStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2065,Hardware Amp Status,hwAmpStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2066,Hardware Voltage Status,hwVoltageStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2067,Hardware Memory Status,hwMemoryStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2068,Hardware Log Status,hwLogStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2069,Processor Status,hwProcStatus,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2070,Power Chord Status,hwPowerChordStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2071,Storage Controller Status,hwStorageControllerStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2072,Storage Channel Status,hwStorageChannelStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2073,Storage Enclosure Status,hwStorageEnclosureStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2074,Storage Power Supply Status,hwStoragePowerSupplyStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2075,Storage Fan Status,hwStorageFanStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2076,Storage Temp Status,hwStorageTempStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2077,Storage EMM Status,hwStorageEMMStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2078,Logical Disk status,logDiskStatus,uint16,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2079,Disk Location,hwDiskLoc,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2080,Disk Serial,hwDiskSerial,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2081,Disk Model,hwDiskModel,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2082,Hardware Component Name,hwComponentName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2083,Hardware Component Status,hwComponentStatus,string,0,0,1,0,0,Code,1,1,0,0,0,,,,,,,,,
2084,Failed Fan Count,hwFailedFanCount,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2085,Failed Power Supply Count,hwFailedPowerSupplyCount,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2086,CIFS Request Rate (/sec),cifsOpsPerSec,double,0,0,1,0,0,PerSec,1,1,0,0,0,,,,,,,,,
2087,NFS Request Rate (/sec),nfsOpsPerSec,double,0,0,1,0,0,PerSec,1,1,0,0,0,,,,,,,,,
2088,Disk Read Rate (KBps),diskReadKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,1,1,0,0,0,,,,,,,,,
2089,Disk Write Rate (KBps),diskWriteKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,1,1,0,0,0,,,,,,,,,
2090,Net Sent Rate (KBps),netSentKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,1,1,0,0,0,,,,,,,,,
2091,Net Received Rate (KBps),netRecvdKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,1,1,0,0,0,,,,,,,,,
2092,RPC Bad Calls,rpcBadCallsDelta,uint64,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2093,NFS Bad Calls,nfsBadCallsDelta,uint64,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2094,CIFS Bad Calls,cifsBadCallsDelta,uint64,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2095,Cache Age (Min),cacheAgeMin,uint64,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2096,Disk IO Util,diskIOUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2097,CPU for IO Util,cpuForIOUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2098,Swap Read Rate (Pages/sec),swapInRate,double,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2099,Swap Write Rate (Pages/sec),swapOutRate,double,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2100,Total Swap Rate (Pages/sec),swapRate,double,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2101,System Logged In User,numUser,uint32,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2102,Average System Job,numJob,uint32,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2103,Disk Adapter,diskAdapter,string,0,0,1,0,0,,1,1,0,1,0,,,,,,0,,,
2104,VM Disk Read Latency,guestDiskRdLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2105,VM Disk Write Latency,guestDiskWrLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2106,ESX Kernel Disk Read Latency,kernDiskRdLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2107,ESX Kernel Disk Write Latency,kernDiskWrLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2108,Disk Read Latency (ms),devDiskRdLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2109,Disk Write Latency (ms),devDiskWrLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2110,Disk Read Rate (req/sec),diskReadReqPerSec,double,0,0,1,0,0,PerSec,0,0,1,0,0,,1,,,,,,,
2111,Disk Write Rate (req/sec),diskWriteReqPerSec,double,0,0,1,0,0,PerSec,0,0,1,0,0,,1,,,,,,,
2112,Physical CPU Util,phyCpuUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2113,VM CPU System Svc %,cpuSysPct,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2114,VM CPU Run %,cpuRunPct,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2115,VM CPU Ready %,cpuReadyPct,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2116,VM CPU Limited %,cpuMlmtedPct,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2117,Swap Read KBps,swapReadKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,0,0,1,0,0,,1,,,,,,,
2118,Swap Write KBps,swapWriteKBytesPerSec,double,0,0,1,0,0,KBytesPerSec,0,0,1,0,0,,1,,,,,,,
2119,Free Memory State,freeMemState,uint16,0,0,0,1,0,Code,1,1,0,0,0,,1,,,,,,,
2120,Physical Memory Util,phyMemUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2121,VM Name,vmName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2122,Source VM Name,srcVmName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2123,Dest VM Name,destVmName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2124,Original VM Name,origVmName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2125,New VM Name,newVmName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2126,Physical Machine Name,phyMachName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2127,Source Physical Machine Name,srcPhyMachName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2128,Dest Physical Machine Name,destalptPhyMachName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2129,Original Physical Machine Name,origPhyMachName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,1,
2130,VM Template,vmTemplate,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2131,VM Guest Id,vmGuestId,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2132,DRS Behaviour,drsBehavior,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2133,Resource Pool,resourcePool,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2134,Original Resource Pool,origResourcePool,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2135,New Resource Pool,newResourcePool,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2136,Dest Resource Pool,destResourcePool,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2137,Datastore,datastore,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2138,Cluster,cluster,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2139,Datacenter,datacenter,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2140,UUID,uuid,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2141,Alarm,alarm,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2142,Task,task,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2143,Folder,folder,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2144,Role,role,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2145,Principal,principal,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2146,Original Status,origStatus,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2147,New Status,newStatus,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2148,Script,script,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2149,License Server,licenseServer,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2150,Feature,feature,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2151,Managed Entity,managedEntity,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2152,VMware Event Category,vmwEventCat,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2153,VMware Event Message,vmwEventMsg,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2154,Disk Read/Write Latency,devDiskRWLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2155,Disk Appl Read/Write Latency,appDiskRWLatency,double,0,0,1,0,0,DurationMSec,0,0,1,0,0,,1,,,,,,,
2156,Virtual Switch,vSwitch,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
## 2157,VM IP,vmIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,,
## 2158,VM Host Name,vmHostname,string,0,1,0,0,0,,1,1,0,,0,,1,,,,1,,,
2159,Virtual CPU count,vCpus,uint16,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2160,CPU core count,processors,uint16,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2161,Disk Transfer Rate (KBps),diskTfrKBytesPerSec,double,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2162,Disk Number of Seeks,diskNumofSeeksPerSec,double,0,1,0,0,0,,1,1,0,0,0,,,1,,,1,,,
2163,VM Power State,vmPowerStateCode,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2164,VM Connection State,vmConnectionStateCode,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2165,Physical Machine Power State,phyMachPowerStateCode,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2166,Physical Machine Connection State,phyMachConnectionStateCode,uint16,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2167,Physical Machine IP,phyMachIpAddr,IP,0,1,0,0,0,,1,1,0,0,0,,1,,,,1,,1,
2168,Hardware Failure Reason,hwFailReason,string,0,0,1,0,0,,1,1,0,0,0,,,,,,,,,
2169,Disk Type,diskType,string,0,0,1,0,0,,1,1,0,1,0,,,,,,0,,,
2170,Object Action,osObjAction,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2171,Target Object Type,targetOsObjType,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2172,Target Object Name,targetOsObjName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2173,Virus Database Version,virdbVer,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2174,IDS Database Version,idsdbVer,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2175,Anti-Virus Extension Database Version,avenVer,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2176,IDS Extension Database Version,idsenVer,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2177,Extension Database Version,extdbVer,string,0,0,1,0,0,,0,0,0,0,0,,1,,,,,,,
2178,Total Disk (MB),totalDiskMB,uint32,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,1,,
2179,Used Disk (MB),usedDiskMB,uint32,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,1,,
2180,Current Daily Disk Growth,diskGrowthMBDaily,double,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,1,,
2181,Avg Daily Disk Growth,avgDiskGrowthMBDaily,double,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,1,,
2182,Days To Disk Full,timeToDiskFull,int32,0,0,1,0,0,DurationDay,0,0,1,1,0,,1,,,,,1,,
2183,SAN Storage Processor Name,spName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2184,SAN Storage Port Name,spPortName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2185,LUN Name,lunName,string,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2186,LUN Number,lunNumber,uint32,0,0,1,0,0,,1,1,0,0,0,,,,,,1,,,
2187,Swap Memory Util,swapMemUtil,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2188,Swap Memory Error,swapMemErrorString,string,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2189,Free Swap Memory,freeSwapMemKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2190,Minimum Swap Memory,memMinimumSwap,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
## attribute for virtual machine,,,,,,,,,,,,,,,,,,,,,,,
2195,Total Disk Read Latency,totDiskRdLatency,double,0,0,1,0,0,,0,0,1,0,0,,1,,,,,,,
2196,Total Disk Write Latency,totDiskWrLatency,double,0,0,1,0,0,,0,0,1,0,0,,1,,,,,,,
2197,Datacenter ID,datacenterId,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2198,Cluster ID,clusterId,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2199,Resource Pool ID,resPoolId,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2200,CPU Util MHZ,cpuUtilMHz,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2201,CPU Total MHZ,cpuTotalMHz,double,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
2203,Consumed Memory (KB),memConsumedKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2204,Overhead Memory (KB),memOverheadKB,uint32,0,0,1,0,0,MemoryKB,0,0,1,1,0,,1,,,,,,,
2205,Total Memory (MB),memTotalMB,uint32,0,0,1,0,0,DiskMB,0,0,1,1,0,,1,,,,,,,
#2207,Cluster Name,clusterName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
#2208,Resource Pool Name,resPoolName,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2209,Managed Object Reference ID,morId,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2210,Cluster Path,clusterPath,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2211,Resource Pool Path,resPoolPath,string,0,0,1,0,0,,1,1,0,1,0,,,,,,,,,
2212,UPS Remaining Charge (Pct),upsRemainBatteryChargePct,uint32,0,0,1,0,0,,0,0,1,1,0,,1,,,,,1,,
