PH_SYS_DASHBOARD_Summary_Apps_DHCP,PH_SYS_DASHBOARD_Summary_App_Folder,Windows DHCP Servers,4,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_DNS,PH_SYS_DASHBOARD_Summary_App_Folder,Windows DNS Servers,5,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_IIS,PH_SYS_DASHBOARD_Summary_App_Folder,IIS Servers,6,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_ASP_NET,PH_SYS_DASHBOARD_Summary_App_Folder,ASP.Net Servers,7,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Active_Dir,PH_SYS_DASHBOARD_Summary_App_Folder,MS Active Directory,8,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_MS_SQL,PH_SYS_DASHBOARD_Summary_App_Folder,MS SQL Servers,9,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Oracle_DB,PH_SYS_DASHBOARD_Summary_App_Folder,Oracle DB Servers,10,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_DB,PH_SYS_DASHBOARD_Summary_App_Folder,Other DB Servers,11,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_VOIP,PH_SYS_DASHBOARD_Summary_App_Folder,VoIP Summary,12,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_IPSLA,PH_SYS_DASHBOARD_Summary_App_Folder,IP SLA Summary,13,,,PH_SYS_View_Server
PH_SYS_DASHBOARD_Summary_Apps_EUM,PH_SYS_DASHBOARD_Summary_App_Folder,Synthetic Transaction Monitoring,14,,,PH_SYS_View_Server
